Zone_numbers,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1
1.0,PJM_AP,1,PJM_AP,PJM_ATSI,2932.7999999999997,PJM_AP-PJM_ATSI,177.361,0.01,2444,99999,0.95,0
2.0,PJM_ATSI,2,PJM_AP,PJM_Dom,7464.0,PJM_AP-PJM_Dom,174.418,0.01,6220,99999,0.95,0
3.0,PJM_COMD,3,PJM_AP,PJM_PENE,3342.0,PJM_AP-PJM_PENE,117.36,0.01,2785,99999,0.95,0
4.0,PJM_Dom,4,PJM_AP,PJM_SMAC,1320.0,PJM_AP-PJM_SMAC,136.117,0.01,1100,99999,0.95,0
5.0,PJM_EMAC,5,PJM_AP,PJM_West,4074.0,PJM_AP-PJM_West,200.76,0.01,3395,99999,0.95,0
6.0,PJM_PENE,6,PJM_ATSI,PJM_AP,2932.7999999999997,PJM_ATSI-PJM_AP,177.361,0.01,2444,99999,0.95,0
7.0,PJM_SMAC,7,PJM_ATSI,PJM_West,8880.0,PJM_ATSI-PJM_West,155.026,0.01,7400,99999,0.95,0
8.0,PJM_WMAC,8,PJM_COMD,PJM_West,1176.0,PJM_COMD-PJM_West,373.224,0.01,980,99999,0.95,0
9.0,PJM_West,9,PJM_Dom,PJM_AP,7464.0,PJM_Dom-PJM_AP,174.418,0.01,6220,99999,0.95,0
,,10,PJM_Dom,PJM_SMAC,1440.0,PJM_Dom-PJM_SMAC,126.495,0.01,1200,99999,0.95,0
,,11,PJM_Dom,PJM_West,4647.599999999999,PJM_Dom-PJM_West,298.106,0.01,3873,99999,0.95,0
,,12,PJM_EMAC,PJM_SMAC,360.0,PJM_EMAC-PJM_SMAC,91.998,0.01,300,99999,0.95,0
,,13,PJM_EMAC,PJM_WMAC,11220.0,PJM_EMAC-PJM_WMAC,101.899,0.01,9350,99999,0.95,0
,,14,PJM_PENE,PJM_AP,3342.0,PJM_PENE-PJM_AP,117.36,0.01,2785,99999,0.95,0
,,15,PJM_PENE,PJM_WMAC,6207.599999999999,PJM_PENE-PJM_WMAC,104.569,0.01,5173,99999,0.95,0
,,16,PJM_SMAC,PJM_AP,1320.0,PJM_SMAC-PJM_AP,136.117,0.01,1100,99999,0.95,0
,,17,PJM_SMAC,PJM_Dom,1440.0,PJM_SMAC-PJM_Dom,126.495,0.01,1200,99999,0.95,0
,,18,PJM_SMAC,PJM_EMAC,360.0,PJM_SMAC-PJM_EMAC,91.998,0.01,300,99999,0.95,0
,,19,PJM_SMAC,PJM_WMAC,936.0,PJM_SMAC-PJM_WMAC,131.538,0.01,780,99999,0.95,0
,,20,PJM_West,PJM_AP,4074.0,PJM_West-PJM_AP,200.76,0.01,3395,99999,0.95,0
,,21,PJM_West,PJM_ATSI,8880.0,PJM_West-PJM_ATSI,155.026,0.01,7400,99999,0.95,0
,,22,PJM_West,PJM_COMD,1176.0,PJM_West-PJM_COMD,373.224,0.01,980,99999,0.95,0
,,23,PJM_West,PJM_Dom,4647.599999999999,PJM_West-PJM_Dom,298.106,0.01,3873,99999,0.95,0
,,24,PJM_WMAC,PJM_EMAC,11220.0,PJM_WMAC-PJM_EMAC,101.899,0.01,9350,99999,0.95,0
,,25,PJM_WMAC,PJM_PENE,6207.599999999999,PJM_WMAC-PJM_PENE,104.569,0.01,5173,99999,0.95,0
,,26,PJM_WMAC,PJM_SMAC,936.0,PJM_WMAC-PJM_SMAC,131.538,0.01,780,99999,0.95,0
